Participant ID,Reaction Time,Correct,Congruency,Social/Non-Social,Block,Block Number
925252,875.07,1,incongruent,Social,First,1
925252,703.345,1,congruent,Social,First,1
925252,549.285,1,congruent,Social,First,1
925252,467.31,1,congruent,Social,First,1
925252,470.665,1,incongruent,Social,First,1
925252,476.715,1,congruent,Social,First,1
925252,488.605,1,congruent,Social,First,1
925252,417.215,1,congruent,Social,First,1
925252,424.76,1,congruent,Social,First,1
925252,370.605,1,incongruent,Social,First,1
925252,428.045,1,congruent,Social,First,1
925252,465.865,1,congruent,Social,First,1
925252,451.505,1,incongruent,Social,First,1
925252,395.42,1,congruent,Social,First,1
925252,418.5,1,incongruent,Social,First,1
925252,454.795,1,incongruent,Social,First,1
925252,596.16,1,congruent,Social,First,1
925252,452.655,1,congruent,Social,First,1
925252,439.69,1,incongruent,Social,First,1
925252,445.255,1,incongruent,Social,First,1
925252,513.29,1,congruent,Social,First,1
925252,467.95,1,incongruent,Social,First,1
925252,438.385,1,congruent,Social,First,1
925252,443.29,1,incongruent,Social,First,1
925252,434.82,1,congruent,Social,First,1
925252,443.085,1,congruent,Social,First,1
925252,403.05,1,incongruent,Social,First,1
925252,455.075,1,incongruent,Social,First,1
925252,505.615,1,congruent,Social,First,1
925252,501.095,1,incongruent,Social,First,1
925252,471.01,1,congruent,Social,First,1
925252,400.44,1,incongruent,Social,First,1
925252,364.85,1,incongruent,Social,First,1
925252,481.225,1,incongruent,Social,First,1
925252,482.29,1,congruent,Social,First,1
925252,413.09,1,incongruent,Social,First,1
925252,477.275,1,congruent,Social,First,1
925252,482.705,1,congruent,Social,First,1
925252,568.89,1,incongruent,Social,First,1
925252,472.07,1,congruent,Social,First,1
925252,506.21,1,incongruent,Social,First,1
925252,430.49,1,congruent,Social,First,1
925252,436.07,1,incongruent,Social,First,1
925252,486.04,1,incongruent,Social,First,1
925252,459.97,1,incongruent,Social,First,1
925252,477.695,1,congruent,Social,First,1
925252,448.43,1,incongruent,Social,First,1
925252,515.295,1,congruent,Social,First,1
925252,466.68,0,congruent,Social,First,1
925252,558.49,1,incongruent,Social,First,1
925252,421.27,1,incongruent,Social,First,1
925252,412.86,1,congruent,Social,First,1
925252,422.065,1,incongruent,Social,First,1
925252,443.125,1,congruent,Social,First,1
925252,445.85,1,congruent,Social,First,1
925252,467.88,1,incongruent,Social,First,1
925252,397.705,1,congruent,Social,First,1
925252,436.62,1,incongruent,Social,First,1
925252,409.96,1,congruent,Social,First,1
925252,466.655,1,congruent,Social,First,1
925252,471.93,1,incongruent,Social,First,1
925252,472.01,1,congruent,Social,First,1
925252,504.425,1,incongruent,Social,First,1
925252,369.93,1,incongruent,Social,First,1
925252,440.67,1,congruent,Social,First,1
925252,685.965,1,congruent,Social,First,1
925252,504.185,1,congruent,Social,First,1
925252,441.37,1,congruent,Social,First,1
925252,418.965,1,incongruent,Social,First,1
925252,413.56,1,congruent,Social,First,1
925252,540.015,1,incongruent,Social,First,1
925252,444.115,1,incongruent,Social,First,1
925252,402.415,1,incongruent,Social,First,1
925252,444.575,1,incongruent,Social,First,1
925252,405.575,1,incongruent,Social,First,1
925252,413.62,1,incongruent,Social,First,1
925252,361.825,1,congruent,Social,First,1
925252,523.5,1,incongruent,Social,First,1
925252,431.545,1,congruent,Social,First,1
925252,485.975,1,incongruent,Social,First,1
925252,396.985,1,congruent,Social,First,1
925252,493.885,1,incongruent,Social,First,1
925252,383.395,1,congruent,Social,First,1
925252,441.59,1,incongruent,Social,First,1
925252,468.28,1,incongruent,Social,First,1
925252,439.835,1,congruent,Social,First,1
925252,488.295,1,congruent,Social,First,1
925252,459.035,1,congruent,Social,First,1
925252,400.85,1,congruent,Social,First,1
925252,410.175,1,incongruent,Social,First,1
925252,387.54,1,incongruent,Social,First,1
925252,709.955,1,incongruent,Social,First,1
925252,540.78,1,congruent,Social,Second,2
925252,398.175,1,congruent,Social,Second,2
925252,411.97,1,congruent,Social,Second,2
925252,358.555,1,incongruent,Social,Second,2
925252,402.125,1,congruent,Social,Second,2
925252,472.19,1,incongruent,Social,Second,2
925252,440.92,1,congruent,Social,Second,2
925252,497.55,1,incongruent,Social,Second,2
925252,432.575,1,incongruent,Social,Second,2
925252,290.705,1,congruent,Social,Second,2
925252,402.515,0,congruent,Social,Second,2
925252,349.405,1,incongruent,Social,Second,2
925252,515.91,1,incongruent,Social,Second,2
925252,470.585,1,congruent,Social,Second,2
925252,399.41,1,congruent,Social,Second,2
925252,331.8,1,incongruent,Social,Second,2
925252,215.005,0,incongruent,Social,Second,2
